u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
1151,4133,0,0,0,0,0,0,0,1.0,
2926,9778,0,0,0,0,0,0,0,1.0,
25,1525,0,0,782,25135,1,2305,32,1460550.0,
191,2244,0,0,0,0,0,0,0,9.0,
1542,4443,0,0,927,26995,1,4800,1,1578342.0,
1073,4886,0,0,1187,29369,1,2830,3,1536667.0,
615,1984,0,0,1479,32298,1,4376,14,1673750.0,
96,4523,0,0,2,357,1,218,1,1430835.0,
618,2134,0,0,884,26475,1,1053,3,1439917.0,
4732,17722,0,0,0,0,0,0,0,1.0,
132,15848,0,0,0,0,0,0,0,5.0,
144,1354,0,0,0,0,0,0,0,7.0,
23592,66487,0,0,0,0,0,0,0,3.0,
2900,6134,0,0,0,0,0,0,0,1.0,
118,11173,0,0,0,0,0,0,0,3.0,
42520,42538,0,0,0,0,0,0,0,1.0,
3781,4959,0,0,0,0,0,0,0,4.0,
50331,50332,0,0,0,0,0,0,0,4.0,
227,3224,0,0,209,15184,1,2782,1,2126025.0,
230,17429,0,0,1625,32782,1,3724,13,1897156.0,
9989,22043,0,0,0,0,0,0,0,1.0,
2748,7848,0,0,0,0,0,0,0,3.0,
4196,10656,0,0,1462,31606,1,3703,3,1674121.0,
345,1393,0,0,0,0,0,0,0,7.0,
717,3012,0,0,0,0,0,0,0,4.0,
3643,16313,0,0,6,396,1,172,3,1644614.0,
6458,41952,0,0,0,0,0,0,0,1.0,
2123,12392,0,0,0,0,0,0,0,1.0,
525,3917,0,0,327,17202,1,1142,1,2345604.0,
3981,19516,0,0,0,0,0,0,0,1.0,
36875,36876,0,0,6,38,1,10,6,1198.0,
22860,38743,0,0,0,0,0,0,0,5.0,
13766,33511,0,0,0,0,0,0,0,3.0,
491,1144,0,0,1298,30255,1,2804,22,1695898.0,
18138,27848,0,0,2,104,1,60,1,672974.0,
1103,4028,0,0,0,0,0,0,0,12.0,
1954,5022,0,0,686,23625,1,3322,2,1826405.0,
11582,22344,0,0,0,0,0,0,0,1.0,
9152,58268,0,0,0,0,0,0,0,1.0,
1677,5915,0,0,146,12543,1,3823,1,2332987.0,
2211,11077,0,0,0,0,0,0,0,9.0,
3483,12748,0,0,721,24147,1,3943,1,1865405.0,
2455,3136,0,0,0,0,0,0,0,2.0,
215,49748,0,0,0,0,0,0,0,3.0,
647,5202,0,0,483,19949,1,3701,1,2091554.0,
559,724,0,0,998,27860,1,4001,6,1625185.0,
108,6788,0,0,0,0,0,0,0,9.0,
1244,11938,0,0,0,0,0,0,0,1.0,
27,768,0,0,1251,29731,1,4337,51,1714367.0,
5558,67831,0,0,0,0,0,0,0,3.0,
4280,26691,0,0,0,0,0,0,0,2.0,
569,611,0,0,752,24910,1,899,0,1631579.0,
