dataset,s,r,tree_build_ms,prog_time_ms,num_leaves,clique_index_ms,max_rss_kb,exit_status,cmd,timestamp
/data1/wenqianz/com-youtube.edges,1,23,22599.4,126.0,0.0,,544916.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 23,2025-09-01 16:04:42
/data1/wenqianz/com-youtube.edges,1,24,21840.8,118.0,0.0,,545144.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 24,2025-09-01 16:05:07
/data1/wenqianz/com-youtube.edges,1,25,22112.0,121.0,0.0,,545160.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 25,2025-09-01 16:05:31
/data1/wenqianz/com-youtube.edges,1,26,22088.9,120.0,0.0,,545140.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 26,2025-09-01 16:05:56
/data1/wenqianz/com-youtube.edges,1,27,21848.3,118.0,0.0,,545108.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 27,2025-09-01 16:06:20
/data1/wenqianz/com-youtube.edges,1,28,22035.2,117.0,0.0,,545096.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 28,2025-09-01 16:06:44
/data1/wenqianz/com-youtube.edges,1,29,23004.0,119.0,0.0,,544876.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 29,2025-09-01 16:07:08
/data1/wenqianz/com-youtube.edges,1,30,22609.5,117.0,0.0,,545004.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 30,2025-09-01 16:07:33
/data1/wenqianz/com-youtube.edges,2,4,23324.8,15099.0,2555040.0,,25524112.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 4,2025-09-01 16:07:57
/data1/wenqianz/com-youtube.edges,2,5,23182.0,14264.0,2248530.0,,22616232.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 5,2025-09-01 16:08:41
/data1/wenqianz/com-youtube.edges,2,6,22577.8,11015.0,1640724.0,,16723284.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 6,2025-09-01 16:09:24
/data1/wenqianz/com-youtube.edges,2,7,23054.0,8172.0,1051537.0,,10977636.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 7,2025-09-01 16:10:01
/data1/wenqianz/com-youtube.edges,2,8,22582.9,4640.0,606659.0,,6629940.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 8,2025-09-01 16:10:36
/data1/wenqianz/com-youtube.edges,2,9,23494.8,2906.0,316242.0,,3775584.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 9,2025-09-01 16:11:07
/data1/wenqianz/com-youtube.edges,2,10,22216.5,1706.0,147090.0,,2111332.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 10,2025-09-01 16:11:36
