meta	phase	duration_ms	rss_kb	delta_rss_kb	component_bytes
graph=web-Stanford,r=1,s=3,algo=ours,run=1	prepareGraph	42.1401	337228	5212	0
graph=web-Stanford,r=1,s=3,algo=ours,run=1	dispatch_total	381.332	346576	9348	0
graph=web-Stanford,r=1,s=3,algo=ours,run=2	loadAndSort	1251.14	51656	49532	0
graph=web-Stanford,r=1,s=3,algo=ours,run=2	buildSDCT	6860.66	332012	280356	30154944
graph=web-Stanford,r=1,s=3,algo=ours,run=2	preMutation	0.650599	332012	0	0
graph=web-Stanford,r=1,s=3,algo=ours,run=2	prepareGraph	42.0717	337224	5212	0
graph=web-Stanford,r=1,s=3,algo=ours,run=2	dispatch_total	381.577	346572	9348	0
graph=web-Stanford,r=1,s=3,algo=ref,run=0	loadAndSort	1249.53	51520	49372	0
graph=web-Stanford,r=1,s=3,algo=ref,run=0	buildSDCT	6476.42	347212	295692	30154944
graph=web-Stanford,r=1,s=3,algo=ref,run=0	preMutation	0.419743	347212	0	0
graph=web-Stanford,r=1,s=3,algo=ref,run=0	prepareGraph	36.0429	350344	3132	0
graph=web-Stanford,r=1,s=3,algo=ref,run=0	REF_initSupports	45.326	350344	0	2255232
graph=web-Stanford,r=1,s=3,algo=ref,run=0	REF_heapBuild	26.2738	396280	45936	53125700
graph=web-Stanford,r=1,s=3,algo=ref,run=0	REF_peel_loop	533.011	520360	124080	0
graph=web-Stanford,r=1,s=3,algo=ref,run=0	dispatch_total	122.255	481332	-39028	0
graph=web-Stanford,r=1,s=3,algo=ref,run=1	loadAndSort	1024.22	51492	49344	0
graph=web-Stanford,r=1,s=3,algo=ref,run=1	buildSDCT	6714.46	347268	295776	30154944
graph=web-Stanford,r=1,s=3,algo=ref,run=1	preMutation	0.375902	347268	0	0
graph=web-Stanford,r=1,s=3,algo=ref,run=1	prepareGraph	38.9102	350380	3112	0
graph=web-Stanford,r=1,s=3,algo=ref,run=1	REF_initSupports	49.6653	350396	16	2255232
graph=web-Stanford,r=1,s=3,algo=ref,run=1	REF_heapBuild	26.3348	396216	45820	53125700
graph=web-Stanford,r=1,s=3,algo=ref,run=1	REF_peel_loop	521.545	520620	124404	0
graph=web-Stanford,r=1,s=3,algo=ref,run=1	dispatch_total	117.906	481368	-39252	0
graph=web-Stanford,r=1,s=3,algo=ref,run=2	loadAndSort	1605.04	51536	49384	0
graph=web-Stanford,r=1,s=3,algo=ref,run=2	buildSDCT	6304.95	347292	295756	30154944
graph=web-Stanford,r=1,s=3,algo=ref,run=2	preMutation	0.387854	347292	0	0
graph=web-Stanford,r=1,s=3,algo=ref,run=2	prepareGraph	36.5243	350424	3132	0
graph=web-Stanford,r=1,s=3,algo=ref,run=2	REF_initSupports	44.6511	350424	0	2255232
graph=web-Stanford,r=1,s=3,algo=ref,run=2	REF_heapBuild	26.5232	396360	45936	53125700
graph=web-Stanford,r=1,s=3,algo=ref,run=2	REF_peel_loop	517.986	520440	124080	0
graph=web-Stanford,r=1,s=3,algo=ref,run=2	dispatch_total	119.098	481412	-39028	0
graph=web-Stanford,r=1,s=5,algo=ours,run=0	loadAndSort	1225.43	51556	49420	0
graph=web-Stanford,r=1,s=5,algo=ours,run=0	buildSDCT	6491.23	336068	284512	23684976
graph=web-Stanford,r=1,s=5,algo=ours,run=0	preMutation	0.647357	336068	0	0
graph=web-Stanford,r=1,s=5,algo=ours,run=0	prepareGraph	41.9956	341320	5252	0
graph=web-Stanford,r=1,s=5,algo=ours,run=0	dispatch_total	323.653	341400	80	0
graph=web-Stanford,r=1,s=5,algo=ours,run=1	loadAndSort	1235.8	51632	49424	0
graph=web-Stanford,r=1,s=5,algo=ours,run=1	buildSDCT	6487.28	336076	284444	23684976
graph=web-Stanford,r=1,s=5,algo=ours,run=1	preMutation	0.674335	336076	0	0
graph=web-Stanford,r=1,s=5,algo=ours,run=1	prepareGraph	41.9073	341328	5252	0
graph=web-Stanford,r=1,s=5,algo=ours,run=1	dispatch_total	323.659	341408	80	0
graph=web-Stanford,r=1,s=5,algo=ours,run=2	loadAndSort	1230.95	51744	49640	0
graph=web-Stanford,r=1,s=5,algo=ours,run=2	buildSDCT	6495.28	336192	284448	23684976
graph=web-Stanford,r=1,s=5,algo=ours,run=2	preMutation	0.656044	336192	0	0
graph=web-Stanford,r=1,s=5,algo=ours,run=2	prepareGraph	41.9958	341444	5252	0
graph=web-Stanford,r=1,s=5,algo=ours,run=2	dispatch_total	324.253	341524	80	0
graph=web-Stanford,r=1,s=5,algo=ref,run=0	loadAndSort	1227.47	51632	49500	0
graph=web-Stanford,r=1,s=5,algo=ref,run=0	buildSDCT	6472.89	351332	299700	23684976
graph=web-Stanford,r=1,s=5,algo=ref,run=0	preMutation	0.47939	351332	0	0
graph=web-Stanford,r=1,s=5,algo=ref,run=0	prepareGraph	36.0119	354612	3280	0
graph=web-Stanford,r=1,s=5,algo=ref,run=0	REF_initSupports	44.0727	354612	0	2255232
graph=web-Stanford,r=1,s=5,algo=ref,run=0	REF_heapBuild	22.6166	390516	35904	43420748
graph=web-Stanford,r=1,s=5,algo=ref,run=0	REF_peel_loop	519.268	505884	115368	0
graph=web-Stanford,r=1,s=5,algo=ref,run=0	dispatch_total	102.92	475080	-30804	0
graph=web-Stanford,r=1,s=5,algo=ref,run=1	loadAndSort	1609.7	51632	49400	0
graph=web-Stanford,r=1,s=5,algo=ref,run=1	buildSDCT	6407.75	351332	299700	23684976
graph=web-Stanford,r=1,s=5,algo=ref,run=1	preMutation	0.48695	351332	0	0
graph=web-Stanford,r=1,s=5,algo=ref,run=1	prepareGraph	36.1185	354612	3280	0
graph=web-Stanford,r=1,s=5,algo=ref,run=1	REF_initSupports	46.2364	354612	0	2255232
graph=web-Stanford,r=1,s=5,algo=ref,run=1	REF_heapBuild	22.5975	390516	35904	43420748
graph=web-Stanford,r=1,s=5,algo=ref,run=1	REF_peel_loop	520.915	505884	115368	0
graph=web-Stanford,r=1,s=5,algo=ref,run=1	dispatch_total	102.996	475080	-30804	0
graph=web-Stanford,r=1,s=5,algo=ref,run=2	loadAndSort	1556.82	51572	49404	0
graph=web-Stanford,r=1,s=5,algo=ref,run=2	buildSDCT	6405.83	351272	299700	23684976
graph=web-Stanford,r=1,s=5,algo=ref,run=2	preMutation	0.469137	351272	0	0
graph=web-Stanford,r=1,s=5,algo=ref,run=2	prepareGraph	36.1545	354552	3280	0
graph=web-Stanford,r=1,s=5,algo=ref,run=2	REF_initSupports	44.0935	354552	0	2255232
graph=web-Stanford,r=1,s=5,algo=ref,run=2	REF_heapBuild	25.0201	390456	35904	43420748
graph=web-Stanford,r=1,s=5,algo=ref,run=2	REF_peel_loop	516.873	505824	115368	0
graph=web-Stanford,r=1,s=5,algo=ref,run=2	dispatch_total	102.656	475020	-30804	0
graph=web-Stanford,r=1,s=10,algo=ours,run=0	loadAndSort	974.642	51736	49592	0
graph=web-Stanford,r=1,s=10,algo=ours,run=0	buildSDCT	5833.58	178912	127176	6286416
graph=web-Stanford,r=1,s=10,algo=ours,run=0	preMutation	0.489349	178912	0	0
graph=web-Stanford,r=1,s=10,algo=ours,run=0	prepareGraph	36.614	180272	1360	0
graph=web-Stanford,r=1,s=10,algo=ours,run=0	dispatch_total	130.391	180352	80	0
graph=web-Stanford,r=1,s=10,algo=ours,run=1	loadAndSort	975.39	51624	49416	0
graph=web-Stanford,r=1,s=10,algo=ours,run=1	buildSDCT	5839.9	178804	127180	6286416
graph=web-Stanford,r=1,s=10,algo=ours,run=1	preMutation	0.484781	178804	0	0
graph=web-Stanford,r=1,s=10,algo=ours,run=1	prepareGraph	36.57	180164	1360	0
graph=web-Stanford,r=1,s=10,algo=ours,run=1	dispatch_total	129.828	180244	80	0
graph=web-Stanford,r=1,s=10,algo=ours,run=2	loadAndSort	1229.72	51696	49584	0
graph=web-Stanford,r=1,s=10,algo=ours,run=2	buildSDCT	5926.37	178876	127180	6286416
graph=web-Stanford,r=1,s=10,algo=ours,run=2	preMutation	0.494653	178876	0	0
graph=web-Stanford,r=1,s=10,algo=ours,run=2	prepareGraph	36.5884	180236	1360	0
graph=web-Stanford,r=1,s=10,algo=ours,run=2	dispatch_total	130.348	180316	80	0
graph=web-Stanford,r=1,s=10,algo=ref,run=0	loadAndSort	1228.84	51712	49576	0
graph=web-Stanford,r=1,s=10,algo=ref,run=0	buildSDCT	5928.06	194244	142532	6286416
graph=web-Stanford,r=1,s=10,algo=ref,run=0	preMutation	0.406041	194244	0	0
