graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-dblp,6,15,V3,OK,236363.7,234129.0,,227241.0,,1343484
com-dblp,11,14,V3_NP,OOM,,,,,,
com-dblp,11,14,V3,OOM,,,,,,
com-dblp,10,14,V3_NP,OOM,,,,,,
com-dblp,10,14,V3,OOM,,,,,,
com-dblp,9,14,V3_NP,OOM,,,,,,
com-dblp,9,14,V3,OOM,,,,,,
com-dblp,8,14,V3_NP,OOM,,,,,,
com-dblp,8,14,V3,OOM,,,,,,
com-dblp,7,14,V3_NP,OOM,,,,,,
com-dblp,6,14,V3_NP,TIMEOUT,,,,,,
com-dblp,7,14,REF,TIMEOUT,,,,,,
com-dblp,12,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,12,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,13,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,13,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,14,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,14,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,3,16,REF,OK,6044.0,3588.4,,,,293604
com-dblp,3,16,V3,OK,4026.9,427.0,,377.0,,68412
com-dblp,3,16,ST,OK,8054.8,5316.2,,,,389252
com-dblp,13,14,V3,OOM,,,,,,
com-dblp,7,15,V3,OK,1191779.0,1189666.0,,1160489.0,,4213884
com-dblp,12,14,V3,TIMEOUT,,,,,,
com-dblp,12,14,V3_NP,TIMEOUT,,,,,,
com-dblp,13,14,REF,TIMEOUT,,,,,,
com-dblp,12,14,REF,TIMEOUT,,,,,,
com-dblp,6,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,16,V3,OK,10085.5,5487.0,,5144.0,,143452
com-dblp,7,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,5,15,ST,OK,1380954.8,1.3,,,,31744668
com-dblp,4,16,REF,OK,37246.6,34793.1,,,,1801672
com-dblp,8,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,5,16,V3,OK,39253.0,35227.0,,33650.0,,408024
com-dblp,4,16,ST,OK,54362.2,49344.0,,,,2603848
com-dblp,9,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,8,15,V3,OK,1504684.9,1500576.0,,1431229.0,,7777808
com-dblp,5,15,REF,OOM,,,,,,
com-dblp,4,15,V3_NP,OOM,,,,,,
com-dblp,3,15,V3_NP,OOM,,,,,,
com-dblp,13,14,V3_NP,OOM,,,,,,
com-dblp,9,15,V3,OK,3524435.9,3520912.0,,3287536.0,,21906824
com-dblp,10,15,V3,TIMEOUT,,,,,,
com-dblp,10,15,V3_NP,TIMEOUT,,,,,,
com-dblp,11,15,V3,TIMEOUT,,,,,,
com-dblp,5,15,V3_NP,TIMEOUT,,,,,,
com-dblp,6,15,V3_NP,TIMEOUT,,,,,,
com-dblp,7,15,V3_NP,TIMEOUT,,,,,,
com-dblp,8,15,V3_NP,TIMEOUT,,,,,,
com-dblp,9,15,V3_NP,TIMEOUT,,,,,,
com-dblp,5,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,12,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,12,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,13,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,13,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,14,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,14,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,15,16,REF,SKIP_TIMEOUT,,,,,,
com-dblp,15,16,ST,SKIP_TIMEOUT,,,,,,
com-dblp,3,17,REF,OK,22132.9,20923.2,,,,287088
com-dblp,3,17,ST,OK,22125.0,19919.9,,,,379252
com-dblp,13,15,V3_NP,OOM,,,,,,
com-dblp,13,15,V3,OOM,,,,,,
com-dblp,12,15,V3_NP,OOM,,,,,,
com-dblp,12,15,V3,OOM,,,,,,
com-dblp,11,15,V3_NP,OOM,,,,,,
com-dblp,6,16,V3,OK,1032422.1,1028277.0,,1021241.0,,1327936
com-dblp,7,16,V3,OK,1155771.1,1153051.0,,1124732.0,,4194468
com-dblp,3,16,V3_NP,TIMEOUT,,,,,,
com-dblp,14,15,V3,TIMEOUT,,,,,,
com-dblp,14,15,V3_NP,TIMEOUT,,,,,,
com-dblp,3,17,V3,OK,2012.4,322.0,,279.0,,64044
com-dblp,5,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,7,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,17,V3,OK,32205.4,27898.0,,27677.0,,126104
com-dblp,8,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,5,17,V3,OK,39246.9,35169.0,,33702.0,,255104
com-dblp,8,16,V3,OK,1535141.3,1533361.0,,1464786.0,,8495100
com-dblp,9,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,6,17,V3,OK,238335.1,235051.0,,228411.0,,1331532
com-dblp,5,16,ST,OOM,,,,,,
com-dblp,4,16,V3_NP,OOM,,,,,,
com-dblp,9,16,V3_NP,TIMEOUT,,,,,,
com-dblp,8,16,V3_NP,TIMEOUT,,,,,,
com-dblp,9,16,V3,TIMEOUT,,,,,,
com-dblp,5,16,V3_NP,TIMEOUT,,,,,,
com-dblp,6,16,V3_NP,TIMEOUT,,,,,,
com-dblp,7,16,V3_NP,TIMEOUT,,,,,,
com-dblp,14,16,V3_NP,TIMEOUT,,,,,,
com-dblp,15,16,V3,TIMEOUT,,,,,,
com-dblp,15,16,V3_NP,TIMEOUT,,,,,,
com-dblp,5,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,12,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,12,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,13,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,13,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,14,17,REF,SKIP_TIMEOUT,,,,,,
