graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
com-dblp,11,REF_R1_HIER,OK,3122.3,1915.0,301.0,-1.0,42.6,209140
com-dblp,9,REF_R1_HIER,OK,3444.9,2425.5,245.9,-1.0,54.5,239420
com-dblp,3,REF_R1_HIER,OK,7543.6,4869.1,631.4,-1.0,292.7,505620
com-dblp,5,REF_R1_HIER,OK,7346.3,5825.9,441.1,-1.0,230.2,523432
com-dblp,7,REF_R1_HIER,OK,7141.6,3615.4,320.1,-1.0,110.0,321676
web-Stanford,3,REF_R1,OK,11017.5,896.7,6813.9,-1.0,-1.0,520632
web-Stanford,5,REF_R1,OK,10802.6,849.0,7377.0,-1.0,-1.0,505900
web-Stanford,7,REF_R1,OK,10586.8,669.8,6734.7,-1.0,-1.0,424216
web-Stanford,9,REF_R1,OK,10370.7,381.3,6742.0,-1.0,-1.0,280100
web-Stanford,11,REF_R1,OK,10154.2,325.1,6365.4,-1.0,-1.0,255328
web-Stanford,13,REF_R1,OK,9936.0,277.9,6277.4,-1.0,-1.0,234724
web-Stanford,15,REF_R1,OK,9718.0,230.1,6089.2,-1.0,-1.0,212812
com-youtube,3,REF_R1,OK,9501.7,1277.7,4151.3,-1.0,-1.0,746544
com-youtube,5,REF_R1,OK,10112.4,1000.3,4311.7,-1.0,-1.0,657320
twitter_combined,3,REF_R1,OK,19523.7,2024.2,14851.8,-1.0,-1.0,1114432
com-youtube,9,REF_R1,OK,6779.1,373.9,3550.3,-1.0,-1.0,438460
com-youtube,11,REF_R1,OK,6563.4,253.9,3333.4,-1.0,-1.0,401724
com-youtube,13,REF_R1,OK,6347.1,216.8,3224.9,-1.0,-1.0,391144
com-youtube,7,REF_R1,OK,10447.7,692.9,4664.5,-1.0,-1.0,514380
com-youtube,15,REF_R1,OK,6573.3,207.7,3075.2,-1.0,-1.0,389276
com-youtube,15,REF_R1_HIER,OK,9698.9,2646.5,3254.2,-1.0,6.8,431732
web-Google,3,REF_R1,OK,9591.3,2042.9,4152.9,-1.0,-1.0,718608
web-Google,5,REF_R1,OK,9375.0,1305.7,3703.4,-1.0,-1.0,557488
twitter_combined,3,REF_R1_HIER,OK,32469.4,13792.9,14801.4,-1.0,1181.8,2013864
web-Stanford,3,REF_R1_HIER,OK,31015.6,21483.4,6848.0,-1.0,939.8,1878128
web-Google,7,REF_R1,OK,9562.0,901.7,3414.1,-1.0,-1.0,481536
web-Stanford,15,REF_R1_HIER,OK,33085.0,22871.7,6130.0,-1.0,793.7,1728548
com-youtube,13,REF_R1_HIER,OK,22746.1,14876.9,3117.4,-1.0,287.7,1108336
web-Google,9,REF_R1,OK,9918.1,667.7,3267.3,-1.0,-1.0,430608
web-Google,11,REF_R1,OK,6606.7,475.4,2789.3,-1.0,-1.0,386272
web-Google,13,REF_R1,OK,6389.8,334.1,2527.1,-1.0,-1.0,352832
web-Google,15,REF_R1,OK,6464.4,246.4,2345.7,-1.0,-1.0,329740
web-Stanford,13,REF_R1_HIER,OK,43042.6,34999.1,5997.3,-1.0,1387.8,2551776
com-youtube,11,REF_R1_HIER,OK,50938.4,43775.7,3269.2,-1.0,1017.0,2806688
web-Google,3,REF_R1_HIER,OK,44260.3,35959.5,4132.0,-1.0,1954.1,2700428
twitter_combined,5,REF_R1,OK,67089.2,16851.9,47759.2,-1.0,-1.0,7305556
web-Stanford,11,REF_R1_HIER,OK,70955.5,60543.1,6456.4,-1.0,2975.0,4151860
com-youtube,3,REF_R1_HIER,OK,76513.7,69215.8,4257.3,-1.0,1989.8,5173600
web-Google,15,REF_R1_HIER,OK,49575.3,41529.2,2463.0,-1.0,1109.5,2514820
web-Stanford,9,REF_R1_HIER,OK,95780.2,86249.1,6310.4,-1.0,4480.1,5475276
wiki-Talk,3,REF_R1,OK,58787.4,3537.0,48916.7,-1.0,-1.0,2110512
web-Stanford,5,REF_R1_HIER,OK,99577.8,88032.8,7441.0,-1.0,4770.7,6144036
web-Stanford,7,REF_R1_HIER,OK,99501.0,90021.0,6821.6,-1.0,5331.9,6162524
com-youtube,9,REF_R1_HIER,OK,98095.9,89598.9,3496.8,-1.0,2528.5,6258600
web-Google,13,REF_R1_HIER,OK,74914.7,67410.3,2550.9,-1.0,2251.7,4184380
