graph,s,algo,phase,n_runs,time_ms,rss_kb,delta_rss_kb,component_bytes
web-Stanford,10,ref,loadAndSort,3,1225.470,51712,49476,0
web-Stanford,10,ref,buildSDCT,3,5928.060,194128,142412,6286416
web-Stanford,10,ref,preMutation,3,0.406,194128,0,0
web-Stanford,10,ref,prepareGraph,3,35.651,197360,3244,0
web-Stanford,10,ref,REF_initSupports,3,19.587,197360,0,2255232
web-Stanford,10,ref,REF_heapBuild,3,13.046,207392,10032,17322908
web-Stanford,10,ref,REF_peel_loop,3,210.069,267320,59928,0
web-Stanford,10,ref,dispatch_total,3,30.820,267320,0,0
web-Stanford,20,ours,loadAndSort,3,998.760,51640,49532,0
web-Stanford,20,ours,buildSDCT,3,5481.900,91160,39460,1086000
web-Stanford,20,ours,preMutation,3,0.553,91160,0,0
web-Stanford,20,ours,prepareGraph,3,35.313,93576,2416,0
web-Stanford,20,ours,dispatch_total,3,28.900,99708,6132,0
web-Stanford,20,ref,loadAndSort,3,1228.000,51648,49476,0
web-Stanford,20,ref,buildSDCT,3,5577.050,106412,54764,1086000
web-Stanford,20,ref,preMutation,3,0.262,106412,0,0
web-Stanford,20,ref,prepareGraph,3,35.305,109640,3164,0
web-Stanford,20,ref,REF_initSupports,3,5.992,109640,0,2255232
web-Stanford,20,ref,REF_heapBuild,3,8.123,111752,2112,9522284
web-Stanford,20,ref,REF_peel_loop,3,77.795,154784,43032,0
web-Stanford,20,ref,dispatch_total,3,6.305,112060,-42724,0
web-Stanford,40,ours,loadAndSort,3,1224.440,51564,49408,0
web-Stanford,40,ours,buildSDCT,3,5087.290,68336,16712,371232
web-Stanford,40,ours,preMutation,3,0.145,68336,0,0
web-Stanford,40,ours,prepareGraph,3,35.201,71316,2980,0
web-Stanford,40,ours,dispatch_total,3,9.627,71316,0,0
web-Stanford,40,ref,loadAndSort,3,1034.450,51712,49580,0
web-Stanford,40,ref,buildSDCT,3,4997.770,83892,32180,371232
web-Stanford,40,ref,preMutation,3,0.075,83892,0,0
web-Stanford,40,ref,prepareGraph,3,35.859,86756,2864,0
web-Stanford,40,ref,REF_initSupports,3,2.743,86756,0,2255232
web-Stanford,40,ref,REF_heapBuild,3,6.915,88868,2112,8450132
web-Stanford,40,ref,REF_peel_loop,3,49.580,131636,42768,0
web-Stanford,40,ref,dispatch_total,3,2.851,89064,-42572,0
web-Stanford,60,ours,loadAndSort,3,1223.730,51668,49500,0
web-Stanford,60,ours,buildSDCT,3,4900.080,51812,208,576
web-Stanford,60,ours,preMutation,3,0.057,51812,0,0
web-Stanford,60,ours,prepareGraph,3,34.955,54208,2396,0
web-Stanford,60,ours,dispatch_total,3,1.360,54208,0,0
web-Stanford,60,ref,loadAndSort,3,1223.940,51736,49564,0
web-Stanford,60,ref,buildSDCT,3,4900.090,67104,15368,576
web-Stanford,60,ref,preMutation,3,0.057,67104,0,0
web-Stanford,60,ref,prepareGraph,3,35.726,69492,2452,0
web-Stanford,60,ref,REF_initSupports,3,0.194,69492,0,2255232
web-Stanford,60,ref,REF_heapBuild,3,6.322,70284,792,7894148
web-Stanford,60,ref,REF_peel_loop,3,31.253,113316,43032,0
web-Stanford,60,ref,dispatch_total,3,4.206,70716,-42660,0
web-it-2004,3,ours,loadAndSort,3,3389.000,142088,139940,0
web-it-2004,3,ours,buildSDCT,3,124074.000,425232,283080,13119216
web-it-2004,3,ours,preMutation,3,0.489,425232,0,0
web-it-2004,3,ours,prepareGraph,3,92.358,415500,-9732,0
web-it-2004,3,ours,dispatch_total,3,351.011,435084,19584,0
web-it-2004,3,ref,loadAndSort,3,3378.190,142216,140044,0
web-it-2004,3,ref,buildSDCT,3,125259.000,453100,310872,13119216
web-it-2004,3,ref,preMutation,3,0.535,453100,0,0
web-it-2004,3,ref,prepareGraph,3,87.212,443532,-9568,0
web-it-2004,3,ref,REF_initSupports,3,46.313,447488,3956,4074712
web-it-2004,3,ref,REF_heapBuild,3,42.002,474416,26928,33940288
web-it-2004,3,ref,REF_peel_loop,3,465.876,569720,95304,0
web-it-2004,3,ref,dispatch_total,3,89.261,569720,0,0
web-it-2004,10,ours,loadAndSort,3,3397.980,142316,140140,0
