dataset,s,r,cmd,timestamp,tree_build_ms,clique_index_ms,prog_time_ms,num_leaves,max_rss_kb,exit_status,dataset_name
/data1/wenqianz/com-dblp.edges,30,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 30,2025-08-31 02:07:20,608.695,,43.0,769,124832,0,com-dblp
/data1/wenqianz/com-dblp.edges,4,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 4,2025-08-31 02:07:21,660.151,,1872.0,247029,2614468,0,com-dblp
/data1/wenqianz/com-dblp.edges,5,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 5,2025-08-31 02:07:25,654.285,,1224.0,123565,1414348,0,com-dblp
/data1/wenqianz/com-dblp.edges,6,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 6,2025-08-31 02:07:28,630.569,,858.0,66739,855008,0,com-dblp
/data1/wenqianz/com-dblp.edges,7,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 7,2025-08-31 02:07:30,501.406,,551.0,40000,590664,0,com-dblp
/data1/wenqianz/com-dblp.edges,8,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 8,2025-08-31 02:07:32,511.48,,444.0,26257,453184,0,com-dblp
/data1/wenqianz/com-dblp.edges,9,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 9,2025-08-31 02:07:33,496.386,,369.0,18537,374648,0,com-dblp
/data1/wenqianz/com-dblp.edges,10,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 10,2025-08-31 02:07:35,500.376,,333.0,13829,326488,0,com-dblp
/data1/wenqianz/com-dblp.edges,11,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 11,2025-08-31 02:07:36,494.863,,296.0,10730,294196,0,com-dblp
/data1/wenqianz/com-dblp.edges,12,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 12,2025-08-31 02:07:38,611.907,,333.0,8574,271828,0,com-dblp
/data1/wenqianz/com-dblp.edges,13,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 13,2025-08-31 02:07:40,615.948,,313.0,6995,255004,0,com-dblp
/data1/wenqianz/com-dblp.edges,14,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 14,2025-08-31 02:07:41,496.677,,240.0,5799,242676,0,com-dblp
/data1/wenqianz/com-dblp.edges,15,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 15,2025-08-31 02:07:43,614.213,,296.0,4895,233396,0,com-dblp
/data1/wenqianz/com-dblp.edges,16,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 16,2025-08-31 02:07:44,612.684,,314.0,4201,231656,0,com-dblp
/data1/wenqianz/com-dblp.edges,17,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 17,2025-08-31 02:07:46,611.974,,317.0,3654,231408,0,com-dblp
/data1/wenqianz/com-dblp.edges,18,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 18,2025-08-31 02:07:48,616.442,,302.0,3215,231136,0,com-dblp
/data1/wenqianz/com-dblp.edges,19,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 19,2025-08-31 02:07:50,614.593,,343.0,2844,230724,0,com-dblp
/data1/wenqianz/com-dblp.edges,20,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 20,2025-08-31 02:07:51,610.196,,342.0,2519,230800,0,com-dblp
/data1/wenqianz/com-dblp.edges,21,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 21,2025-08-31 02:07:53,609.26,,283.0,2230,230460,0,com-dblp
/data1/wenqianz/com-dblp.edges,22,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 22,2025-08-31 02:07:55,616.064,,256.0,1975,230148,0,com-dblp
/data1/wenqianz/com-dblp.edges,23,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 23,2025-08-31 02:07:56,607.406,,310.0,1754,230120,0,com-dblp
/data1/wenqianz/com-dblp.edges,24,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 24,2025-08-31 02:07:58,610.27,,361.0,1566,229752,0,com-dblp
/data1/wenqianz/com-dblp.edges,25,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 25,2025-08-31 02:08:00,608.474,,314.0,1395,229620,0,com-dblp
/data1/wenqianz/com-dblp.edges,26,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 26,2025-08-31 02:08:01,606.132,,244.0,1240,229460,0,com-dblp
/data1/wenqianz/com-dblp.edges,27,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 27,2025-08-31 02:08:03,499.319,,320.0,1100,229468,0,com-dblp
/data1/wenqianz/com-dblp.edges,28,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 28,2025-08-31 02:08:04,608.398,,292.0,975,229172,0,com-dblp
/data1/wenqianz/com-dblp.edges,29,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 29,2025-08-31 02:08:06,494.001,,266.0,866,229084,0,com-dblp
/data1/wenqianz/com-dblp.edges,30,2,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 30,2025-08-31 02:08:07,607.453,,382.0,769,229004,0,com-dblp
/data1/wenqianz/com-dblp.edges,4,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 4,2025-08-31 02:08:09,659.185,341.655,4960.0,247029,2280200,0,com-dblp
/data1/wenqianz/com-dblp.edges,5,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 5,2025-08-31 02:08:16,517.95,236.161,4525.0,123565,2118684,0,com-dblp
/data1/wenqianz/com-dblp.edges,6,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 6,2025-08-31 02:08:22,631.288,234.165,4086.0,66739,1838744,0,com-dblp
/data1/wenqianz/com-dblp.edges,7,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 7,2025-08-31 02:08:27,501.817,166.739,3650.0,40000,1628964,0,com-dblp
/data1/wenqianz/com-dblp.edges,8,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 8,2025-08-31 02:08:32,621.856,179.86,3507.0,26257,1470624,0,com-dblp
/data1/wenqianz/com-dblp.edges,9,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 9,2025-08-31 02:08:37,615.888,163.762,3345.0,18537,1354608,0,com-dblp
/data1/wenqianz/com-dblp.edges,10,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 10,2025-08-31 02:08:42,615.341,151.693,3180.0,13829,1264292,0,com-dblp
/data1/wenqianz/com-dblp.edges,11,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 11,2025-08-31 02:08:46,495.844,117.875,2997.0,10730,1179540,0,com-dblp
/data1/wenqianz/com-dblp.edges,12,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 12,2025-08-31 02:08:50,493.248,111.348,2853.0,8574,1116392,0,com-dblp
/data1/wenqianz/com-dblp.edges,13,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 13,2025-08-31 02:08:54,614.739,127.253,2948.0,6995,1060672,0,com-dblp
/data1/wenqianz/com-dblp.edges,14,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 14,2025-08-31 02:08:59,498.065,100.796,2690.0,5799,1006380,0,com-dblp
/data1/wenqianz/com-dblp.edges,15,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 15,2025-08-31 02:09:03,622.127,117.229,2707.0,4895,964416,0,com-dblp
/data1/wenqianz/com-dblp.edges,16,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 16,2025-08-31 02:09:07,496.778,93.1812,5151.0,4201,1183608,0,com-dblp
/data1/wenqianz/com-dblp.edges,17,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 17,2025-08-31 02:09:13,609.074,108.372,7125.0,3654,1279876,0,com-dblp
/data1/wenqianz/com-dblp.edges,18,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 18,2025-08-31 02:09:22,612.219,104.961,9579.0,3215,1308492,0,com-dblp
/data1/wenqianz/com-dblp.edges,19,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 19,2025-08-31 02:09:33,491.697,86.1855,,2844,1177376,0,com-dblp
/data1/wenqianz/com-dblp.edges,20,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 20,2025-08-31 04:18:09,610.519,100.192,3586255.0,2519,150110708,0,com-dblp
/data1/wenqianz/com-dblp.edges,21,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 21,2025-08-31 05:18:04,615.055,97.2926,69124.0,2230,4965036,0,com-dblp
/data1/wenqianz/com-dblp.edges,22,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 22,2025-08-31 05:19:15,615.092,93.8407,14421806.0,1975,1228080,0,com-dblp
/data1/wenqianz/com-dblp.edges,23,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 23,2025-08-31 09:19:38,608.994,91.7207,3239059.0,1754,2554036,0,com-dblp
/data1/wenqianz/com-dblp.edges,24,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 24,2025-08-31 10:13:38,609.234,89.7526,6364354.0,1566,3103076,0,com-dblp
/data1/wenqianz/com-dblp.edges,25,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 25,2025-08-31 11:59:44,606.547,86.9427,1480438.0,1395,10936836,0,com-dblp
/data1/wenqianz/com-dblp.edges,26,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 26,2025-08-31 12:24:27,611.408,84.7072,95244.0,1240,6123804,0,com-dblp
/data1/wenqianz/com-dblp.edges,27,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 27,2025-08-31 12:26:04,503.611,71.7171,74703.0,1100,5795084,0,com-dblp
/data1/wenqianz/com-dblp.edges,28,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 28,2025-08-31 12:27:19,605.622,81.3024,5992564.0,975,3517712,0,com-dblp
/data1/wenqianz/com-dblp.edges,29,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 29,2025-08-31 14:07:13,611.721,79.341,126318.0,866,1457164,0,com-dblp
/data1/wenqianz/com-dblp.edges,30,3,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 30,2025-08-31 14:09:21,496.113,66.3408,62815.0,769,5437016,0,com-dblp
/data1/wenqianz/web-Google.edges,3,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 3,2025-08-31 14:10:25,13932.1,,6282.0,3799558,13508900,0,web-Google
/data1/wenqianz/web-Google.edges,4,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 4,2025-08-31 14:10:51,13987.9,,5520.0,3196972,11636444,0,web-Google
/data1/wenqianz/web-Google.edges,5,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 5,2025-08-31 14:11:15,13903.7,,4577.0,2557157,9493248,0,web-Google
/data1/wenqianz/web-Google.edges,6,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 6,2025-08-31 14:11:38,13856.4,,3773.0,2044544,7739508,0,web-Google
/data1/wenqianz/web-Google.edges,7,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 7,2025-08-31 14:12:00,13750.1,,3084.0,1619352,6269724,0,web-Google
/data1/wenqianz/web-Google.edges,8,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 8,2025-08-31 14:12:21,13839.9,,2500.0,1266650,5038208,0,web-Google
/data1/wenqianz/web-Google.edges,9,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 9,2025-08-31 14:12:41,13699.0,,1965.0,971755,3995924,0,web-Google
/data1/wenqianz/web-Google.edges,10,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 10,2025-08-31 14:13:00,13566.3,,1522.0,730618,3137700,0,web-Google
/data1/wenqianz/web-Google.edges,11,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 11,2025-08-31 14:13:19,13429.8,,1169.0,538760,2448324,0,web-Google
/data1/wenqianz/web-Google.edges,12,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 12,2025-08-31 14:13:37,13535.2,,890.0,389528,1908420,0,web-Google
/data1/wenqianz/web-Google.edges,13,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 13,2025-08-31 14:13:54,13508.3,,661.0,274019,1486092,0,web-Google
/data1/wenqianz/web-Google.edges,14,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 14,2025-08-31 14:14:11,13408.1,,490.0,186911,1164060,0,web-Google
/data1/wenqianz/web-Google.edges,15,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 15,2025-08-31 14:14:28,13437.3,,357.0,123415,924676,0,web-Google
/data1/wenqianz/web-Google.edges,16,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 16,2025-08-31 14:14:45,13539.6,,271.0,79516,757136,0,web-Google
/data1/wenqianz/web-Google.edges,17,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 17,2025-08-31 14:15:01,13456.9,,209.0,50221,642956,0,web-Google
/data1/wenqianz/web-Google.edges,18,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 18,2025-08-31 14:15:18,13372.7,,165.0,31381,568344,0,web-Google
/data1/wenqianz/web-Google.edges,19,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 19,2025-08-31 14:15:34,13363.2,,137.0,19291,520084,0,web-Google
/data1/wenqianz/web-Google.edges,20,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 20,2025-08-31 14:15:50,13346.5,,116.0,12017,492676,0,web-Google
/data1/wenqianz/web-Google.edges,21,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 21,2025-08-31 14:16:06,13342.3,,112.0,7987,489732,0,web-Google
/data1/wenqianz/web-Google.edges,22,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 22,2025-08-31 14:16:22,13351.9,,106.0,5653,488020,0,web-Google
/data1/wenqianz/web-Google.edges,23,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 23,2025-08-31 14:16:37,13373.3,,110.0,4203,486920,0,web-Google
/data1/wenqianz/web-Google.edges,24,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 24,2025-08-31 14:16:54,13303.3,,103.0,3322,486124,0,web-Google
/data1/wenqianz/web-Google.edges,25,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 25,2025-08-31 14:17:10,13379.9,,103.0,2648,485544,0,web-Google
/data1/wenqianz/web-Google.edges,26,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 26,2025-08-31 14:17:26,13594.1,,101.0,2177,485104,0,web-Google
/data1/wenqianz/web-Google.edges,27,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 27,2025-08-31 14:17:42,13529.9,,100.0,1866,484624,0,web-Google
/data1/wenqianz/web-Google.edges,28,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 28,2025-08-31 14:17:58,13362.4,,102.0,1601,484176,0,web-Google
/data1/wenqianz/web-Google.edges,29,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 29,2025-08-31 14:18:14,13350.6,,100.0,1360,483960,0,web-Google
/data1/wenqianz/web-Google.edges,30,1,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 1 30,2025-08-31 14:18:30,13332.6,,97.0,1177,483804,0,web-Google
/data1/wenqianz/web-Google.edges,4,2,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 2 4,2025-08-31 14:18:46,13792.4,,22067.0,3196972,32135292,0,web-Google
/data1/wenqianz/web-Google.edges,5,2,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 2 5,2025-08-31 14:19:28,13811.7,,19957.0,2557157,25944036,0,web-Google
/data1/wenqianz/web-Google.edges,6,2,./build/bin/degeneracy_cliques /data1/wenqianz/web-Google.edges 2 6,2025-08-31 14:20:08,13782.7,,17180.0,2044544,20966476,0,web-Google
